original_sentence1,original_sentence2,processed_sentence1,processed_sentence2,label,char_count,word_count,sentence_count,avg_word_length,punct_count,punct_ratio,upper_count,upper_ratio,digit_count,digit_ratio,special_count,special_ratio,word_diversity,stopword_ratio,s2_char_count,s2_word_count,s2_sentence_count,s2_avg_word_length,s2_punct_count,s2_punct_ratio,s2_upper_count,s2_upper_ratio,s2_digit_count,s2_digit_ratio,s2_special_count,s2_special_ratio,s2_word_diversity,s2_stopword_ratio,cross_length_ratio,cross_length_diff,cross_word_ratio,cross_word_diff,cross_jaccard_similarity,cross_word_overlap_ratio,cross_char_2gram_overlap,cross_char_3gram_overlap,cross_char_4gram_overlap
two young boys making silly faces.,Kids making funny faces.,two young boys making silly faces.,kids making funny faces.,1,34,6,1,4.833333333333333,1,0.029411764705882353,0,0.0,0,0.0,1,0.029411764705882353,1.0,0.0,24.0,4.0,1.0,5.25,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,1.0,0.0,1.4166666666666667,10.0,1.5,2.0,0.25,0.3333333333333333,0.4444444444444444,0.325,0.2682926829268293
The worker is standing on a ladder on a city sidewalk repairing the building with a large drill.,A worker is making repairs on a building.,the worker is standing on a ladder on a city sidewalk repairing the building with a large drill.,a worker is making repairs on a building.,1,96,18,1,4.388888888888889,1,0.010416666666666666,0,0.0,0,0.0,1,0.010416666666666666,0.7777777777777778,0.5,41.0,8.0,1.0,4.25,1.0,0.024390243902439025,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,0.875,0.5,2.341463414634146,55.0,2.25,10.0,0.23529411764705882,0.2857142857142857,0.4166666666666667,0.2857142857142857,0.22
"Three men work in an alley, while a woman watches from a balcony.",a woman is looking at men doing something,"three men work in an alley, while a woman watches from a balcony.",a woman is looking at men doing something,1,65,13,1,4.076923076923077,2,0.03076923076923077,0,0.0,0,0.0,2,0.03076923076923077,0.9230769230769231,0.46153846153846156,41.0,8.0,1.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5853658536585367,24.0,1.625,5.0,0.17647058823529413,0.25,0.2698412698412698,0.10588235294117647,0.07608695652173914
A man and a woman staring at a very unusual mannequin in a quaint shop window.,Children are looking into a shop window.,a man and a woman staring at a very unusual mannequin in a quaint shop window.,children are looking into a shop window.,0,78,16,1,3.9375,1,0.01282051282051282,0,0.0,0,0.0,1,0.01282051282051282,0.8125,0.5,40.0,7.0,1.0,4.857142857142857,1.0,0.025,0.0,0.0,0.0,0.0,1.0,0.025,1.0,0.42857142857142855,1.95,38.0,2.2857142857142856,9.0,0.17647058823529413,0.23076923076923078,0.30303030303030304,0.19101123595505617,0.1111111111111111
A woman wearing a hat selling something to an older women with white hair.,The woman is selling food to the other woman.,a woman wearing a hat selling something to an older women with white hair.,the woman is selling food to the other woman.,0,74,14,1,4.357142857142857,1,0.013513513513513514,0,0.0,0,0.0,1,0.013513513513513514,0.9285714285714286,0.35714285714285715,45.0,9.0,1.0,4.111111111111111,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.8888888888888888,0.5555555555555556,1.6444444444444444,29.0,1.5555555555555556,5.0,0.16666666666666666,0.23076923076923078,0.3728813559322034,0.1951219512195122,0.13978494623655913
"A little girl in a pink dress lays her head on a woman's lap, sucking her thumb.","A little girl is wearing yellow socks, with her head in mommy's lap.","a little girl in a pink dress lays her head on a woman's lap, sucking her thumb.","a little girl is wearing yellow socks, with her head in mommy's lap.",0,80,17,1,3.764705882352941,3,0.0375,0,0.0,0,0.0,3,0.0375,0.8235294117647058,0.4117647058823529,68.0,13.0,1.0,4.3076923076923075,3.0,0.04411764705882353,0.0,0.0,0.0,0.0,3.0,0.04411764705882353,1.0,0.38461538461538464,1.1764705882352942,12.0,1.3076923076923077,4.0,0.2857142857142857,0.42857142857142855,0.4117647058823529,0.2616822429906542,0.21052631578947367
A black and tan dog plays with a stuffed toy.,A black and tan dog is playing,a black and tan dog plays with a stuffed toy.,a black and tan dog is playing,0,45,10,1,3.6,1,0.022222222222222223,0,0.0,0,0.0,1,0.022222222222222223,0.9,0.4,30.0,7.0,1.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,1.5,15.0,1.4285714285714286,3.0,0.45454545454545453,0.5555555555555556,0.5116279069767442,0.42857142857142855,0.38
A man in a blue shirt cooks hamburgers on a grill.,A man in blue shirt is fanning himself on a chair.,a man in a blue shirt cooks hamburgers on a grill.,a man in blue shirt is fanning himself on a chair.,0,50,11,1,3.6363636363636362,1,0.02,0,0.0,0,0.0,1,0.02,0.8181818181818182,0.45454545454545453,50.0,11.0,1.0,3.6363636363636362,1.0,0.02,0.0,0.0,0.0,0.0,1.0,0.02,0.9090909090909091,0.5454545454545454,1.0,0.0,1.0,0.0,0.46153846153846156,0.6,0.423728813559322,0.2876712328767123,0.24
A little boy attempts to fix his bike.,the boys is working on his bike,a little boy attempts to fix his bike.,the boys is working on his bike,1,38,8,1,3.875,1,0.02631578947368421,0,0.0,0,0.0,1,0.02631578947368421,1.0,0.375,31.0,7.0,1.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.2258064516129032,7.0,1.1428571428571428,1.0,0.07142857142857142,0.125,0.22448979591836735,0.18518518518518517,0.14545454545454545
Girl wearing blue jeans doing tricks on a bike.,The girl is in the X-Games.,girl wearing blue jeans doing tricks on a bike.,the girl is in the x-games.,0,47,9,1,4.333333333333333,1,0.02127659574468085,0,0.0,0,0.0,1,0.02127659574468085,1.0,0.3333333333333333,27.0,6.0,1.0,3.6666666666666665,2.0,0.07407407407407407,0.0,0.0,0.0,0.0,2.0,0.07407407407407407,0.8333333333333334,0.6666666666666666,1.7407407407407407,20.0,1.5,3.0,0.07692307692307693,0.1111111111111111,0.17307692307692307,0.047619047619047616,0.03125
Two adults hold either side of a boat at the edge of the water.,Two people are in the ocean.,two adults hold either side of a boat at the edge of the water.,two people are in the ocean.,0,63,14,1,3.5714285714285716,1,0.015873015873015872,0,0.0,0,0.0,1,0.015873015873015872,0.8571428571428571,0.42857142857142855,28.0,6.0,1.0,3.8333333333333335,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.5,2.25,35.0,2.3333333333333335,8.0,0.125,0.16666666666666666,0.15,0.0821917808219178,0.038461538461538464
A man is cutting a fish.,a man wields a tool,a man is cutting a fish.,a man wields a tool,1,24,6,1,3.1666666666666665,1,0.041666666666666664,0,0.0,0,0.0,1,0.041666666666666664,0.8333333333333334,0.5,19.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,1.263157894736842,5.0,1.2,1.0,0.2857142857142857,0.4,0.22580645161290322,0.14705882352941177,0.08823529411764706
A man with a ponytail hula hooping.,"A man with a long, brown ponytail hula hooping.",a man with a ponytail hula hooping.,"a man with a long, brown ponytail hula hooping.",0,35,7,1,4.142857142857143,1,0.02857142857142857,0,0.0,0,0.0,1,0.02857142857142857,0.8571428571428571,0.42857142857142855,47.0,9.0,1.0,4.333333333333333,2.0,0.0425531914893617,0.0,0.0,0.0,0.0,2.0,0.0425531914893617,0.8888888888888888,0.3333333333333333,0.7446808510638298,12.0,0.7777777777777778,2.0,0.75,0.75,0.775,0.6956521739130435,0.6521739130434783
"A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.",Some people are at a political rally.,"a little girl is holding a colorful end war ron paul sign, some adults are also standing near her in the picture.",some people are at a political rally.,0,113,22,1,4.181818181818182,2,0.017699115044247787,0,0.0,0,0.0,2,0.017699115044247787,0.9545454545454546,0.36363636363636365,37.0,7.0,1.0,4.428571428571429,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1.0,0.5714285714285714,3.054054054054054,76.0,3.142857142857143,15.0,0.12,0.14285714285714285,0.1827956989247312,0.0859375,0.0364963503649635
The conductor is facing the chorus while they look at their booklets and sing.,The tuba player is wandering off the beat.,the conductor is facing the chorus while they look at their booklets and sing.,the tuba player is wandering off the beat.,0,78,14,1,4.642857142857143,1,0.01282051282051282,0,0.0,0,0.0,1,0.01282051282051282,0.9285714285714286,0.5714285714285714,42.0,8.0,1.0,4.375,1.0,0.023809523809523808,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,0.875,0.5,1.8571428571428572,36.0,1.75,6.0,0.1111111111111111,0.15384615384615385,0.21333333333333335,0.11702127659574468,0.04807692307692308
A rapper performs looking at the camera while someone else looks at him over his shoulder.,The rapper is making a music video,a rapper performs looking at the camera while someone else looks at him over his shoulder.,the rapper is making a music video,0,90,16,1,4.6875,1,0.011111111111111112,0,0.0,0,0.0,1,0.011111111111111112,0.9375,0.5,34.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,2.6470588235294117,56.0,2.2857142857142856,9.0,0.15789473684210525,0.2,0.2631578947368421,0.13131313131313133,0.08490566037735849
A child in a yellow plastic safety swing is laughing as a dark-haired woman in pink and coral pants stands behind her.,The child runs around with her mother,a child in a yellow plastic safety swing is laughing as a dark-haired woman in pink and coral pants stands behind her.,the child runs around with her mother,0,118,22,1,4.409090909090909,2,0.01694915254237288,0,0.0,0,0.0,2,0.01694915254237288,0.8636363636363636,0.36363636363636365,37.0,7.0,1.0,4.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,3.189189189189189,81.0,3.142857142857143,15.0,0.04,0.05263157894736842,0.1595744680851064,0.07633587786259542,0.035211267605633804
A black child sitting on a toy giraffe biting his fingers.,The child is biting his fingers.,a black child sitting on a toy giraffe biting his fingers.,the child is biting his fingers.,1,58,11,1,4.363636363636363,1,0.017241379310344827,0,0.0,0,0.0,1,0.017241379310344827,0.9090909090909091,0.36363636363636365,32.0,6.0,1.0,4.5,1.0,0.03125,0.0,0.0,0.0,0.0,1.0,0.03125,1.0,0.5,1.8125,26.0,1.8333333333333333,5.0,0.3333333333333333,0.4,0.46,0.3793103448275862,0.3442622950819672
Two old men in bathing suits and swim caps on the edge of the water on a beach.,Two old men are at the beach.,two old men in bathing suits and swim caps on the edge of the water on a beach.,two old men are at the beach.,1,79,18,1,3.4444444444444446,1,0.012658227848101266,0,0.0,0,0.0,1,0.012658227848101266,0.8888888888888888,0.4444444444444444,29.0,7.0,1.0,3.2857142857142856,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,1.0,0.42857142857142855,2.7241379310344827,50.0,2.5714285714285716,11.0,0.2777777777777778,0.3125,0.3770491803278688,0.2375,0.17857142857142858
Four men are leaping into the air while the fifth man is standing on the ground outside of a house.,Four men stand in a pool while the other sits on the lifeguard chair.,four men are leaping into the air while the fifth man is standing on the ground outside of a house.,four men stand in a pool while the other sits on the lifeguard chair.,0,99,20,1,4.0,1,0.010101010101010102,0,0.0,0,0.0,1,0.010101010101010102,0.9,0.5,69.0,14.0,1.0,4.0,1.0,0.014492753623188406,0.0,0.0,0.0,0.0,1.0,0.014492753623188406,0.9285714285714286,0.5,1.434782608695652,30.0,1.4285714285714286,6.0,0.24,0.3333333333333333,0.43529411764705883,0.2459016393442623,0.14814814814814814
A smiling man is sitting in the chair and drinking alcoholic beverage.,A person with a smile sits and drinks.,a smiling man is sitting in the chair and drinking alcoholic beverage.,a person with a smile sits and drinks.,1,70,12,1,4.916666666666667,1,0.014285714285714285,0,0.0,0,0.0,1,0.014285714285714285,1.0,0.4166666666666667,38.0,8.0,1.0,3.875,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,0.875,0.5,1.8421052631578947,32.0,1.5,4.0,0.11764705882352941,0.16666666666666666,0.31343283582089554,0.16279069767441862,0.12359550561797752
Here are three people unloading their groceries at the supermarket.,There are people at the supermarket.,here are three people unloading their groceries at the supermarket.,there are people at the supermarket.,1,67,10,1,5.8,1,0.014925373134328358,0,0.0,0,0.0,1,0.014925373134328358,1.0,0.5,36.0,6.0,1.0,5.166666666666667,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,1.0,0.6666666666666666,1.8611111111111112,31.0,1.6666666666666667,4.0,0.45454545454545453,0.5,0.5102040816326531,0.5081967213114754,0.43283582089552236
"A young girl in a pink bikini jumps into the air on a sandy beach by the ocean, as two other children play in the sand.",The girl in wearing a bathing suit.,"a young girl in a pink bikini jumps into the air on a sandy beach by the ocean, as two other children play in the sand.",the girl in wearing a bathing suit.,1,119,26,1,3.6153846153846154,2,0.01680672268907563,0,0.0,0,0.0,2,0.01680672268907563,0.8076923076923077,0.5,35.0,7.0,1.0,4.142857142857143,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,1.0,0.42857142857142855,3.4,84.0,3.7142857142857144,19.0,0.16666666666666666,0.19047619047619047,0.2235294117647059,0.09016393442622951,0.05303030303030303
A boy in a black shirt and red wristbands hanging upside down while other people look on.,The boy is dangling high above the ground,a boy in a black shirt and red wristbands hanging upside down while other people look on.,the boy is dangling high above the ground,0,89,17,1,4.294117647058823,1,0.011235955056179775,0,0.0,0,0.0,1,0.011235955056179775,0.9411764705882353,0.4117647058823529,41.0,8.0,1.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.5,2.1707317073170733,48.0,2.125,9.0,0.045454545454545456,0.0625,0.22093023255813954,0.07079646017699115,0.03361344537815126
Man in a bench watching another man sleeping.,A man soaks in his hot tub.,man in a bench watching another man sleeping.,a man soaks in his hot tub.,0,45,8,1,4.75,1,0.022222222222222223,0,0.0,0,0.0,1,0.022222222222222223,0.875,0.25,27.0,7.0,1.0,3.0,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.42857142857142855,1.6666666666666667,18.0,1.1428571428571428,1.0,0.2727272727272727,0.42857142857142855,0.2127659574468085,0.1016949152542373,0.06557377049180328
Three workers in fluorescent orange clothing cleaning the subway tracks.,Two workers are painting graffiti all over the walls of a subway station.,three workers in fluorescent orange clothing cleaning the subway tracks.,two workers are painting graffiti all over the walls of a subway station.,0,72,10,1,6.3,1,0.013888888888888888,0,0.0,0,0.0,1,0.013888888888888888,1.0,0.2,73.0,13.0,1.0,4.6923076923076925,1.0,0.0136986301369863,0.0,0.0,0.0,0.0,1.0,0.0136986301369863,1.0,0.46153846153846156,0.9863013698630136,1.0,0.7692307692307693,3.0,0.15,0.23076923076923078,0.3058823529411765,0.16101694915254236,0.11290322580645161
A basketball game is being played inside a stadium,A sport is being played inside a big stadium.,a basketball game is being played inside a stadium,a sport is being played inside a big stadium.,0,50,9,1,4.666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0.8888888888888888,0.4444444444444444,45.0,9.0,1.0,4.111111111111111,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.8888888888888888,0.4444444444444444,1.1111111111111112,5.0,1.0,0.0,0.45454545454545453,0.625,0.5882352941176471,0.5423728813559322,0.45901639344262296
A man is working on a complex clay sculpture.,A person is working on a scuplture.,a man is working on a complex clay sculpture.,a person is working on a scuplture.,1,45,9,1,4.111111111111111,1,0.022222222222222223,0,0.0,0,0.0,1,0.022222222222222223,0.8888888888888888,0.4444444444444444,35.0,7.0,1.0,4.142857142857143,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.8571428571428571,0.5714285714285714,1.2857142857142858,10.0,1.2857142857142858,2.0,0.4,0.5,0.5,0.3888888888888889,0.32142857142857145
"A man and woman, she's dressed all in white, he has a white shirt, holding hands while walking",A man and woman hold hands.,"a man and woman, she's dressed all in white, he has a white shirt, holding hands while walking",a man and woman hold hands.,1,94,18,1,4.277777777777778,4,0.0425531914893617,0,0.0,0,0.0,4,0.0425531914893617,0.9444444444444444,0.5,27.0,6.0,1.0,3.6666666666666665,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.3333333333333333,3.4814814814814814,67.0,3.0,12.0,0.15,0.17647058823529413,0.30357142857142855,0.21428571428571427,0.1827956989247312
a lone snowboarder jumpy in the air on a snowy mountain,A snowboarder is outside practicing tricks on the snow covered mountaintop,a lone snowboarder jumpy in the air on a snowy mountain,a snowboarder is outside practicing tricks on the snow covered mountaintop,0,55,11,1,4.090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0.9090909090909091,0.45454545454545453,74.0,11.0,1.0,5.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36363636363636365,0.7432432432432432,19.0,1.0,0.0,0.23529411764705882,0.36363636363636365,0.4084507042253521,0.2826086956521739,0.2268041237113402
People are walking in the rain with umbrellas and raincoats around the fountain.,It is thunderstorming.,people are walking in the rain with umbrellas and raincoats around the fountain.,it is thunderstorming.,0,80,13,1,5.230769230769231,1,0.0125,0,0.0,0,0.0,1,0.0125,0.9230769230769231,0.46153846153846156,22.0,3.0,1.0,6.666666666666667,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,1.0,0.6666666666666666,3.6363636363636362,58.0,4.333333333333333,10.0,0.0,0.0,0.13846153846153847,0.03614457831325301,0.0
Boy with white powder and blue writing on his face,A boy have clown make up on his face.,boy with white powder and blue writing on his face,a boy have clown make up on his face.,0,50,10,1,4.1,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.4,37.0,9.0,1.0,3.2222222222222223,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1.0,0.5555555555555556,1.3513513513513513,13.0,1.1111111111111112,1.0,0.1875,0.3,0.288135593220339,0.16901408450704225,0.14084507042253522
A man in a green shirt climbs an indoor climbing wall.,Man climbing wall,a man in a green shirt climbs an indoor climbing wall.,man climbing wall,1,54,11,1,4.0,1,0.018518518518518517,0,0.0,0,0.0,1,0.018518518518518517,0.9090909090909091,0.36363636363636365,17.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.176470588235294,37.0,3.6666666666666665,8.0,0.18181818181818182,0.2,0.41025641025641024,0.30434782608695654,0.25
A skateboarder jumps on brick stairs.,A jogger runs through the city streets.,a skateboarder jumps on brick stairs.,a jogger runs through the city streets.,0,37,6,1,5.333333333333333,1,0.02702702702702703,0,0.0,0,0.0,1,0.02702702702702703,1.0,0.3333333333333333,39.0,7.0,1.0,4.714285714285714,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.42857142857142855,0.9487179487179487,2.0,0.8571428571428571,1.0,0.08333333333333333,0.14285714285714285,0.12698412698412698,0.028985507246376812,0.0
A crowd of people gather nearby to watch the parade.,A crowd watches a parade.,a crowd of people gather nearby to watch the parade.,a crowd watches a parade.,1,52,10,1,4.3,1,0.019230769230769232,0,0.0,0,0.0,1,0.019230769230769232,1.0,0.4,25.0,5.0,1.0,4.2,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.04,0.8,0.4,2.08,27.0,2.0,5.0,0.2727272727272727,0.3,0.425531914893617,0.2857142857142857,0.22413793103448276
A woman with long hair pointing her camera skyward as she stands on a brick wall.,"A woman is pointing her camera upwards, while standing at a wall.",a woman with long hair pointing her camera skyward as she stands on a brick wall.,"a woman is pointing her camera upwards, while standing at a wall.",1,81,16,1,4.125,1,0.012345679012345678,0,0.0,0,0.0,1,0.012345679012345678,0.9375,0.4375,65.0,12.0,1.0,4.5,2.0,0.03076923076923077,0.0,0.0,0.0,0.0,2.0,0.03076923076923077,0.9166666666666666,0.5,1.2461538461538462,16.0,1.3333333333333333,4.0,0.3,0.4,0.5066666666666667,0.37,0.2897196261682243
Two black and white dogs run across a green field.,The dogs are chasing a cat.,two black and white dogs run across a green field.,the dogs are chasing a cat.,0,50,10,1,4.1,1,0.02,0,0.0,0,0.0,1,0.02,1.0,0.2,27.0,6.0,1.0,3.6666666666666665,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,1.0,0.5,1.8518518518518519,23.0,1.6666666666666667,4.0,0.14285714285714285,0.2,0.15517241379310345,0.10606060606060606,0.05970149253731343
Black cow jumping a fence in the snow as a dog barks and another cow watches.,A dog sitting on a couch.,black cow jumping a fence in the snow as a dog barks and another cow watches.,a dog sitting on a couch.,0,77,16,1,3.875,1,0.012987012987012988,0,0.0,0,0.0,1,0.012987012987012988,0.875,0.375,25.0,6.0,1.0,3.3333333333333335,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.04,0.8333333333333334,0.5,3.08,52.0,2.6666666666666665,10.0,0.11764705882352941,0.14285714285714285,0.2,0.0975609756097561,0.044444444444444446
A goalie dressed in yellow blocks a ball kicked by a man dress in white and blue.,A goalie dressed in yellow blocks a ball that was kicked by a man wearing white and blue sandals.,a goalie dressed in yellow blocks a ball kicked by a man dress in white and blue.,a goalie dressed in yellow blocks a ball that was kicked by a man wearing white and blue sandals.,0,81,17,1,3.823529411764706,1,0.012345679012345678,0,0.0,0,0.0,1,0.012345679012345678,0.8235294117647058,0.4117647058823529,97.0,19.0,1.0,4.157894736842105,1.0,0.010309278350515464,0.0,0.0,0.0,0.0,1.0,0.010309278350515464,0.8947368421052632,0.42105263157894735,0.8350515463917526,16.0,0.8947368421052632,2.0,0.631578947368421,0.7058823529411765,0.7323943661971831,0.6736842105263158,0.6153846153846154
